num,type,position,size,angle,response,octave,class_id
example = ,< cv2.KeyPoint 000001D3F5BA36F0>
45,<class 'cv2.KeyPoint'>,"(33.51915740966797, 124.3161849975586)",11.653563499450684,237.48590087890625,0.007083365228027105,4,-1
46,<class 'cv2.KeyPoint'>,"(34.126220703125, 529.1987915039062)",6.399552822113037,118.36288452148438,0.008194948546588421,5,-1
47,<class 'cv2.KeyPoint'>,"(34.636905670166016, 570.0764770507812)",6.5854315757751465,327.5138244628906,0.008812977932393551,5,-1
48,<class 'cv2.KeyPoint'>,"(34.73628234863281, 502.3525695800781)",6.295629024505615,323.2148742675781,0.007224675267934799,5,-1
49,<class 'cv2.KeyPoint'>,"(34.816341400146484, 465.84124755859375)",6.154797077178955,164.3213653564453,0.006265123840421438,5,-1
50,<class 'cv2.KeyPoint'>,"(34.816341400146484, 465.84124755859375)",6.154797077178955,335.160888671875,0.006265123840421438,5,-1
51,<class 'cv2.KeyPoint'>,"(36.09253692626953, 54.274837493896484)",9.992663383483887,338.0169677734375,0.010591401718556881,3,-1
52,<class 'cv2.KeyPoint'>,"(36.472103118896484, 685.3806762695312)",26.29196548461914,68.04736328125,0.008082127198576927,5,-1
53,<class 'cv2.KeyPoint'>,"(36.531288146972656, 42.07084274291992)",4.500982284545898,334.7103271484375,0.006773918401449919,2,-1
54,<class 'cv2.KeyPoint'>,"(36.91938781738281, 318.1283874511719)",22.136566162109375,166.80560302734375,0.0071674226783216,4,-1
55,<class 'cv2.KeyPoint'>,"(38.21657943725586, 546.013916015625)",7.488572597503662,348.8648681640625,0.007980149239301682,1,-1
56,<class 'cv2.KeyPoint'>,"(38.265926361083984, 513.5565185546875)",6.6314215660095215,353.4633483886719,0.0064952559769153595,5,-1
57,<class 'cv2.KeyPoint'>,"(39.12758255004883, 719.9826049804688)",6.061647415161133,251.4247589111328,0.013199933804571629,5,-1
58,<class 'cv2.KeyPoint'>,"(39.99531936645508, 83.61581420898438)",12.8233003616333,346.8162841796875,0.0076493164524436,5,-1
59,<class 'cv2.KeyPoint'>,"(39.99788284301758, 493.762451171875)",9.008009910583496,167.95281982421875,0.008572758175432682,2,-1
60,<class 'cv2.KeyPoint'>,"(39.99788284301758, 493.762451171875)",9.008009910583496,326.12200927734375,0.008572758175432682,2,-1
61,<class 'cv2.KeyPoint'>,"(40.62065505981445, 355.37933349609375)",9.221625328063965,171.22108459472656,0.009368709288537502,3,-1
62,<class 'cv2.KeyPoint'>,"(40.62065505981445, 355.37933349609375)",9.221625328063965,278.409912109375,0.009368709288537502,3,-1
63,<class 'cv2.KeyPoint'>,"(41.00856018066406, 206.8902587890625)",6.651440620422363,91.94598388671875,0.006631230004131794,5,-1
64,<class 'cv2.KeyPoint'>,"(41.00856018066406, 206.8902587890625)",6.651440620422363,166.59860229492188,0.006631230004131794,5,-1
65,<class 'cv2.KeyPoint'>,"(41.00856018066406, 206.8902587890625)",6.651440620422363,230.87754821777344,0.006631230004131794,5,-1
66,<class 'cv2.KeyPoint'>,"(41.392173767089844, 436.5823669433594)",5.847478866577148,198.0848388671875,0.0075820512138307095,4,-1
67,<class 'cv2.KeyPoint'>,"(41.392173767089844, 436.5823669433594)",5.847478866577148,319.1440734863281,0.0075820512138307095,4,-1
68,<class 'cv2.KeyPoint'>,"(42.30601119995117, 708.7833862304688)",9.428901672363281,68.32638549804688,0.01664801314473152,3,-1
69,<class 'cv2.KeyPoint'>,"(42.324554443359375, 64.54635620117188)",6.444683074951172,350.5713195800781,0.008152257651090622,5,-1
70,<class 'cv2.KeyPoint'>,"(42.49346923828125, 727.8419799804688)",6.745014190673828,63.9017333984375,0.0075774481520056725,5,-1
71,<class 'cv2.KeyPoint'>,"(42.693153381347656, 721.8745727539062)",37.21983337402344,70.6722412109375,0.014331422746181488,3,-1
72,<class 'cv2.KeyPoint'>,"(43.6035041809082, 389.60589599609375)",6.1783270835876465,333.39935302734375,0.007179317995905876,5,-1
73,<class 'cv2.KeyPoint'>,"(44.61853790283203, 563.9442138671875)",7.832424163818359,326.8384094238281,0.007553151808679104,1,-1
74,<class 'cv2.KeyPoint'>,"(45.49701690673828, 746.6309814453125)",12.847882270812988,201.08839416503906,0.007086565252393484,5,-1
75,<class 'cv2.KeyPoint'>,"(45.827186584472656, 345.22088623046875)",8.704790115356445,278.4217529296875,0.006051788572221994,2,-1
76,<class 'cv2.KeyPoint'>,"(45.971527099609375, 509.4437561035156)",6.0944976806640625,164.38682556152344,0.008500498719513416,5,-1
77,<class 'cv2.KeyPoint'>,"(45.971527099609375, 509.4437561035156)",6.0944976806640625,349.8091125488281,0.008500498719513416,5,-1
78,<class 'cv2.KeyPoint'>,"(46.29761505126953, 73.8555679321289)",5.163206577301025,349.6134033203125,0.0063699642196297646,3,-1
79,<class 'cv2.KeyPoint'>,"(46.787906646728516, 651.0689697265625)",6.783097743988037,121.02682495117188,0.006406851578503847,5,-1
80,<class 'cv2.KeyPoint'>,"(47.401695251464844, 707.7608032226562)",7.751894474029541,76.16656494140625,0.016452902927994728,1,-1
81,<class 'cv2.KeyPoint'>,"(47.63174057006836, 698.734375)",6.507017612457275,74.44012451171875,0.01687861606478691,5,-1
82,<class 'cv2.KeyPoint'>,"(48.76078414916992, 520.3361206054688)",9.828237533569336,151.72821044921875,0.006974583491683006,3,-1
83,<class 'cv2.KeyPoint'>,"(48.76078414916992, 520.3361206054688)",9.828237533569336,359.5582580566406,0.006974583491683006,3,-1
84,<class 'cv2.KeyPoint'>,"(49.477542877197266, 716.3318481445312)",6.2948689460754395,259.84881591796875,0.010537923313677311,5,-1
85,<class 'cv2.KeyPoint'>,"(50.06070327758789, 576.56884765625)",6.833205699920654,358.4746398925781,0.006984162610024214,5,-1
86,<class 'cv2.KeyPoint'>,"(50.180458068847656, 576.3626708984375)",6.9472527503967285,347.845458984375,0.006956273689866066,1,-1
87,<class 'cv2.KeyPoint'>,"(50.829986572265625, 144.5660400390625)",21.198972702026367,345.0261535644531,0.010138295590877533,4,-1
88,<class 'cv2.KeyPoint'>,"(50.852928161621094, 466.76910400390625)",4.732864856719971,159.9727783203125,0.006018915679305792,3,-1
89,<class 'cv2.KeyPoint'>,"(51.00604248046875, 610.8474731445312)",7.706128120422363,129.48736572265625,0.006750283297151327,1,-1
90,<class 'cv2.KeyPoint'>,"(51.00604248046875, 610.8474731445312)",7.706128120422363,220.73092651367188,0.006750283297151327,1,-1
91,<class 'cv2.KeyPoint'>,"(51.49874496459961, 377.56317138671875)",13.258807182312012,163.8107147216797,0.006559120025485754,5,-1
92,<class 'cv2.KeyPoint'>,"(51.49874496459961, 377.56317138671875)",13.258807182312012,351.5543518066406,0.006559120025485754,5,-1
93,<class 'cv2.KeyPoint'>,"(51.71041488647461, 411.523681640625)",8.479677200317383,299.476806640625,0.00619250675663352,2,-1
94,<class 'cv2.KeyPoint'>,"(52.282264709472656, 118.83750915527344)",12.617365837097168,333.5894775390625,0.009671398438513279,5,-1
95,<class 'cv2.KeyPoint'>,"(52.509342193603516, 642.3165283203125)",8.006413459777832,123.05087280273438,0.006303035654127598,2,-1
96,<class 'cv2.KeyPoint'>,"(54.19760513305664, 75.17124938964844)",10.293339729309082,345.3295593261719,0.015419431030750275,3,-1
97,<class 'cv2.KeyPoint'>,"(55.37554931640625, 727.5272827148438)",11.500617027282715,208.69931030273438,0.00880841538310051,4,-1
98,<class 'cv2.KeyPoint'>,"(56.60260009765625, 23.387022018432617)",13.155255317687988,176.02952575683594,0.009090643376111984,5,-1
99,<class 'cv2.KeyPoint'>,"(56.942344665527344, 48.02156448364258)",7.9865007400512695,165.7258758544922,0.008510619401931763,2,-1
100,<class 'cv2.KeyPoint'>,"(56.996219635009766, 556.2330932617188)",12.972884178161621,166.7299041748047,0.010415764525532722,5,-1
101,<class 'cv2.KeyPoint'>,"(56.996219635009766, 556.2330932617188)",12.972884178161621,336.5826110839844,0.010415764525532722,5,-1
102,<class 'cv2.KeyPoint'>,"(57.15162658691406, 397.67486572265625)",14.599655151367188,304.7977600097656,0.006433957722038031,1,-1
103,<class 'cv2.KeyPoint'>,"(57.15162658691406, 397.67486572265625)",14.599655151367188,347.450439453125,0.006433957722038031,1,-1
104,<class 'cv2.KeyPoint'>,"(60.20448303222656, 312.1256103515625)",13.070198059082031,359.3672790527344,0.006918614264577627,5,-1
105,<class 'cv2.KeyPoint'>,"(60.314083099365234, 486.38787841796875)",7.710475444793701,102.0479736328125,0.006500196177512407,1,-1
106,<class 'cv2.KeyPoint'>,"(60.314083099365234, 486.38787841796875)",7.710475444793701,357.31500244140625,0.006500196177512407,1,-1
107,<class 'cv2.KeyPoint'>,"(60.55976486206055, 125.35208892822266)",5.333291530609131,346.99151611328125,0.006651357747614384,4,-1
108,<class 'cv2.KeyPoint'>,"(61.46959686279297, 698.5398559570312)",7.818096160888672,73.76950073242188,0.015962589532136917,1,-1
109,<class 'cv2.KeyPoint'>,"(63.27822494506836, 107.33891296386719)",7.868648529052734,331.3860168457031,0.015147160738706589,1,-1
110,<class 'cv2.KeyPoint'>,"(63.855838775634766, 490.48187255859375)",12.06961727142334,236.8800048828125,0.008360795676708221,5,-1
111,<class 'cv2.KeyPoint'>,"(64.22996520996094, 588.3650512695312)",5.599229335784912,315.8672790527344,0.007791721262037754,4,-1
112,<class 'cv2.KeyPoint'>,"(64.49394989013672, 138.5413360595703)",6.8629584312438965,343.6114196777344,0.007297351490706205,1,-1
113,<class 'cv2.KeyPoint'>,"(64.70661926269531, 687.1417236328125)",8.696493148803711,72.6854248046875,0.007605887483805418,2,-1
114,<class 'cv2.KeyPoint'>,"(64.8260269165039, 749.0098876953125)",5.892668724060059,160.84063720703125,0.009486524388194084,4,-1
115,<class 'cv2.KeyPoint'>,"(65.13935089111328, 139.09523010253906)",6.371902942657471,345.5579528808594,0.00744661595672369,5,-1
116,<class 'cv2.KeyPoint'>,"(65.56424713134766, 577.6838989257812)",10.310637474060059,160.89369201660156,0.010712169110774994,3,-1
117,<class 'cv2.KeyPoint'>,"(66.30198669433594, 85.26393127441406)",8.474872589111328,186.96597290039062,0.011300520971417427,2,-1
118,<class 'cv2.KeyPoint'>,"(66.62550354003906, 11.89570140838623)",5.750532627105713,113.0328369140625,0.006643556524068117,4,-1
119,<class 'cv2.KeyPoint'>,"(66.62550354003906, 11.89570140838623)",5.750532627105713,238.61013793945312,0.006643556524068117,4,-1
120,<class 'cv2.KeyPoint'>,"(66.69966125488281, 540.7967529296875)",7.482712745666504,159.18243408203125,0.006829701364040375,1,-1
121,<class 'cv2.KeyPoint'>,"(66.86175537109375, 183.38621520996094)",16.45029640197754,345.80078125,0.00628642225638032,2,-1
122,<class 'cv2.KeyPoint'>,"(66.8838119506836, 706.606201171875)",7.104875087738037,240.8038330078125,0.012747639790177345,1,-1
123,<class 'cv2.KeyPoint'>,"(66.94654846191406, 292.4254455566406)",10.381271362304688,5.083587646484375,0.006660072132945061,3,-1
124,<class 'cv2.KeyPoint'>,"(68.75454711914062, 604.0057373046875)",6.907745361328125,341.9753723144531,0.007068746257573366,1,-1
125,<class 'cv2.KeyPoint'>,"(68.94178771972656, 604.4003295898438)",6.743087291717529,341.63458251953125,0.007141212001442909,5,-1
126,<class 'cv2.KeyPoint'>,"(70.25579071044922, 127.20121765136719)",11.153964042663574,342.8754577636719,0.015640748664736748,4,-1
127,<class 'cv2.KeyPoint'>,"(70.62152099609375, 728.9591064453125)",10.649351119995117,234.80250549316406,0.011551326140761375,4,-1
128,<class 'cv2.KeyPoint'>,"(71.02228546142578, 20.92469596862793)",6.697886943817139,97.11474609375,0.006020502187311649,5,-1
129,<class 'cv2.KeyPoint'>,"(71.76593017578125, 588.5222778320312)",5.396880149841309,171.675537109375,0.009581083431839943,4,-1
130,<class 'cv2.KeyPoint'>,"(71.76593017578125, 588.5222778320312)",5.396880149841309,326.1383361816406,0.009581083431839943,4,-1
131,<class 'cv2.KeyPoint'>,"(71.82636260986328, 30.89478302001953)",7.590407848358154,102.43258666992188,0.006610579788684845,1,-1
