0;35.64478
1;31.749687
2;30.362581
3;28.79694
4;26.881823
5;24.78959
6;23.802967
7;23.245312
8;20.784836
9;20.098501
10;18.403301
11;17.62447
12;16.823788
13;16.599186
14;16.149563
15;15.0975685
16;14.545968
17;14.196244
18;13.720555
19;13.011008
20;12.551435
21;12.163769
22;12.060729
23;11.656044
24;11.40441
25;10.9227915
26;10.254279
27;10.077724
28;10.037514
29;9.936263
30;9.634975
31;9.34908
32;9.143999
33;8.887401
34;8.84208
35;8.569031
36;8.201766
37;8.114865
38;7.8915405
39;7.762343
40;7.560358
41;7.384535
42;7.2230315
43;7.040801
44;6.869665
45;6.791497
46;6.588439
47;6.4527755
48;6.188745
49;6.0467525
50;5.925907
51;5.6536984
52;5.4940424
53;5.4535294
54;5.3555317
55;5.1739454
56;5.13073
57;4.921312
58;4.8170023
59;4.611047
60;4.367435
61;4.3426948
62;4.2769284
63;4.1043735
64;4.0360146
65;3.9401414
66;3.8137383
67;3.6788669
68;3.5294433
69;3.3843143
70;3.3220587
71;3.1004355
72;3.079694
73;2.8936274
74;2.751973
75;2.6809697
76;2.6587887
77;2.5902655
78;2.529452
79;2.4615726
80;2.285341
81;2.2027462
82;2.1874597
83;2.0712237
84;1.9613798
85;1.9139745
86;1.8707203
87;1.7527329
88;1.695378
89;1.5819991
90;1.5097252
91;1.4048991
92;1.2397943
93;1.2136599
94;1.0324847
95;1.0085194
96;0.8979169
97;0.8414017
98;0.69618845
99;8.498378e-06

