imgnum,ratio
178,1.0
204,1.0
302,1.0
472,1.0
480,1.0
658,1.0
661,1.0
669,1.0
670,1.0
823,1.0
1563,1.0
1564,1.0
1590,1.0
197,0.9930555555555556
745,0.9930555555555556
770,0.9930555555555556
1326,0.9930555555555556
1562,0.9930555555555556
30,0.9861111111111112
529,0.9861111111111112
556,0.9861111111111112
645,0.9861111111111112
845,0.9861111111111112
1403,0.9861111111111112
1589,0.9861111111111112
155,0.9791666666666666
169,0.9791666666666666
647,0.9791666666666666
660,0.9791666666666666
673,0.9791666666666666
746,0.9791666666666666
1559,0.9791666666666666
1561,0.9791666666666666
50,0.9722222222222222
170,0.9722222222222222
199,0.9722222222222222
200,0.9722222222222222
310,0.9722222222222222
418,0.9722222222222222
483,0.9722222222222222
804,0.9722222222222222
1428,0.9722222222222222
1531,0.9722222222222222
1543,0.9722222222222222
51,0.9652777777777778
174,0.9652777777777778
209,0.9652777777777778
238,0.9652777777777778
812,0.9652777777777778
847,0.9652777777777778
1,0.9583333333333334
6,0.9583333333333334
49,0.9583333333333334
173,0.9583333333333334
191,0.9583333333333334
198,0.9583333333333334
325,0.9583333333333334
398,0.9583333333333334
501,0.9583333333333334
657,0.9583333333333334
659,0.9583333333333334
782,0.9583333333333334
810,0.9583333333333334
1445,0.9583333333333334
1541,0.9583333333333334
172,0.9513888888888888
245,0.9513888888888888
274,0.9513888888888888
374,0.9513888888888888
662,0.9513888888888888
1324,0.9513888888888888
1416,0.9513888888888888
1447,0.9513888888888888
1558,0.9513888888888888
8,0.9444444444444444
220,0.9444444444444444
416,0.9444444444444444
656,0.9444444444444444
824,0.9444444444444444
1245,0.9444444444444444
1328,0.9444444444444444
1374,0.9444444444444444
47,0.9375
52,0.9375
314,0.9375
377,0.9375
430,0.9375
555,0.9375
707,0.9375
802,0.9375
883,0.9375
1333,0.9375
203,0.9305555555555556
453,0.9305555555555556
475,0.9305555555555556
712,0.9305555555555556
1183,0.9305555555555556
1373,0.9305555555555556
1399,0.9305555555555556
1460,0.9305555555555556
1505,0.9305555555555556
13,0.9236111111111112
305,0.9236111111111112
1292,0.9236111111111112
1382,0.9236111111111112
1407,0.9236111111111112
1444,0.9236111111111112
14,0.9166666666666666
82,0.9166666666666666
348,0.9166666666666666
517,0.9166666666666666
705,0.9166666666666666
1005,0.9166666666666666
1222,0.9166666666666666
1397,0.9166666666666666
1560,0.9166666666666666
1579,0.9166666666666666
1599,0.9166666666666666
154,0.9097222222222222
171,0.9097222222222222
179,0.9097222222222222
247,0.9097222222222222
300,0.9097222222222222
1069,0.9097222222222222
1188,0.9097222222222222
1269,0.9097222222222222
1532,0.9097222222222222
81,0.9027777777777778
312,0.9027777777777778
342,0.9027777777777778
356,0.9027777777777778
359,0.9027777777777778
502,0.9027777777777778
582,0.9027777777777778
675,0.9027777777777778
949,0.9027777777777778
126,0.8958333333333334
219,0.8958333333333334
683,0.8958333333333334
710,0.8958333333333334
803,0.8958333333333334
861,0.8958333333333334
1070,0.8958333333333334
301,0.8888888888888888
414,0.8888888888888888
607,0.8888888888888888
672,0.8888888888888888
983,0.8888888888888888
1224,0.8888888888888888
1291,0.8888888888888888
1323,0.8888888888888888
1336,0.8888888888888888
7,0.8819444444444444
373,0.8819444444444444
388,0.8819444444444444
604,0.8819444444444444
671,0.8819444444444444
749,0.8819444444444444
1325,0.8819444444444444
57,0.875
202,0.875
258,0.875
470,0.875
611,0.875
682,0.875
684,0.875
724,0.875
1321,0.875
1414,0.875
1427,0.875
1511,0.875
1518,0.875
296,0.8680555555555556
308,0.8680555555555556
323,0.8680555555555556
330,0.8680555555555556
367,0.8680555555555556
524,0.8680555555555556
554,0.8680555555555556
1229,0.8680555555555556
1290,0.8680555555555556
1405,0.8680555555555556
218,0.8611111111111112
250,0.8611111111111112
447,0.8611111111111112
512,0.8611111111111112
706,0.8611111111111112
1218,0.8611111111111112
1322,0.8611111111111112
1369,0.8611111111111112
38,0.8541666666666666
41,0.8541666666666666
83,0.8541666666666666
297,0.8541666666666666
476,0.8541666666666666
550,0.8541666666666666
915,0.8541666666666666
916,0.8541666666666666
